Paper Title,Venue,Year,Data,Users,Users lables,Tasks,Tasks Labels,"Visualization Levels (Disseminative visualization, Observational visualization, Analytical visualization, Model-developmental visualization)",Visual Representations,Visual analytics techniques (approach),DOI Link,Keyword Search On,Notes,link in Dropbox,Search
A Deeper Understanding of Visualization-Text Interplay in Geographic Data-driven Stories,Computer Graphics Forum,2021,"22 stories collected from 10 well-known digital journalistic sources including New York Times (NYT), FiveThirtyEight (538), and BBC",general public; studies data story techniques by news media; taxonomy,[Public],explores the interplay between visualization and text elements in geographic data-driven stories,Visualize,Analytical Visualization,"map, table, line, area, bar, distribution like beeswarm, diagram, point",explores the interplay between visualization and text elements in geographic data-driven stories,https://doi.org/10.1111/cgf.14309,pandemic,,https://www.dropbox.com/scl/fi/704vtm04bg0ophe5lbtwk/Computer-Graphics-Forum-2021-Latif-A-Deeper-Understanding-of-Visualization-Text-Interplay-in-Geographic-Data-driven.pdf?rlkey=c4gn41fnz9j13xg6cnbaxde87&dl=0,1st round
A Fast Likelihood Method to Reconstruct and Visualize Ancestral Scenarios,,2019,Simulated data and phylogeography of Dengue and evolution of drug resistances in large HIV data set,,,"They presented an approach to reconstruct ancestral scenarios, deal with the uncertainty of ancestral
inferences in the difficult regions of the tree (typically around the tree root), and visualize and edit interactively a tree shaped graphical representation of the most likely ancestral scenarios.",Visualize,Model-Developmental Visualization,"cluster visualization, graph, line chart, full and compressed tree visualization, color-coded map, color- and size coded tree, ",they cluster the neighboring nodes associated with the same states and use graph visualization tools.,https://doi.org/10.1093/molbev/msz131,Epidemiological modeling + visualization,,https://www.dropbox.com/scl/fi/eunk43cvh1nspou48ym63/A-Fast-Likelihood-Method-to-Reconstruct-and-Visualize-Ancestral-Scenarios.pdf?rlkey=wsdokvs0w6k1uie4ju0vyu4u3&dl=0,2nd round
A Framework for Evaluating Dashboards in Healthcare,IEEE Transactions on Visualization and Computer Graphics,2022,"IEEE Scope, ACM Digital Library, Google Scholar, and PubMed - then snowballing",not relevant; evaluation metrics for dashboards,,,,,This papare establishes an evaluation framework for dashboards in healthcare consisting of seven scenarios grouped into three themes,"Survrys evaluation methodologies. By scope, dahboards are defined as visualizations of a given data set which can be shown at different aggregations. Discusses interaction, but not specifically with analytical methods which might be applied to the data.",https://doi.org/10.1109/TVCG.2022.3147154,healthcare,not relevant,https://www.dropbox.com/scl/fi/zrrndvehr84xzkcaadsll/A_Framework_for_Evaluating_Dashboards_in_Healthcare.pdf?rlkey=tr1vfci8746b0m67hhgr628ub&dl=0,1st round
A Framework for Externalizing Implicit Error Using Visualization,IEEE TVCG,2019,The epi-data on Zika virus from the Ministry of Health (MoH) offices of individual participating countries and the World Health Organization (WHO),global health experts, [Domain Subtype]: global health experts,This paper presents a framework for externalizing and analyzing expert knowledge about discrepanciesin data through the use of visualization. ,Visualize,Analytical Visualization,"the probe includes landmarks, geographic areas, general annotations — and at the regional, country, and subcountry levels. The probe also includes a refined set of visualizations based on feedback on the underlying design received in the previous phase. line chart, interactive legend",Externalization approaches / framework for error description; uses annotations to add expert knowledge. Inclusion of experts by annotations,https://doi.org/10.1109/TVCG.2018.2864913,Healthcare + visualization,,https://www.dropbox.com/scl/fi/lvfokub4opfoi4a1xvdsj/A_Framework_for_Externalizing_Implicit_Error_Using_Visualization.pdf?rlkey=6xxamtlqotfn7qfqb1lx2a2b6&dl=0,1st & 2nd round
A Framework for Pandemic Prediction Using Big Data Analytics,,2021,COVID-19 pandemic data,,,"they demonstrate a health monitoring framework for the analysis and prediction of COVID-19. They perform descriptive, diagnostic, predictive, and prescriptive analysis applying big data analytics using a novel disease real data set, focusing on different pandemic symptoms.",Model, Model-Developmental Visualization,"pi chart, bar chart, combined chart, matrix, heat map, scatter plot,  line chart, ",neural networks,https://doi.org/10.1016/j.bdr.2021.100190,Pandemic + visualization,,https://www.dropbox.com/scl/fi/n05gvj96lk7fvv15ccony/A-Framework-for-Pandemic-Prediction-Using-Big-Data-Analytics.pdf?rlkey=y2pt54qtrch6dy7q8be4s8n6x&dl=0,2nd round
A generalized-growth model to characterize the early ascending phase of infectious disease outbreaks,,2016,Outbreak data,,,the paper likely combines mathematical modeling techniques with data visualization approaches to characterize the early stages of infectious disease outbreaks and provide insights into disease transmission dynamics,Model/Visualize,Model-Developmental Visualization,"line chart, scatter plot, ","- They introduce a 2-parameter generalized-growth model to characterize theascending phase of an outbreak and capture epidemic profiles ranging from sub-exponential to exponen-tial growth. 
- They test the model against empirical outbreak data representing a variety of viral pathogensin historic and contemporary populations, and provide simulations highlighting the importance of sub-exponential growth for forecasting purposes.",https://doi.org/10.1016/j.epidem.2016.01.002,Epidemiological modeling + visualization,,https://www.dropbox.com/scl/fi/k1psaan39688iq1vig2ch/A-generalized-growth-model-to-characterize-the-early-ascending-phase-of-infectious-disease-outbreaks.pdf?rlkey=nckxk4vahgzos61xgskcjkp96&dl=0,2nd round
A Large-Scale COVID-19 Twitter Chatter Dataset for Open Scientific Research—An International Collaboration,,2021,Tweets data of COVID-19 chatter,,,"They present a large-scale curated dataset of over 1.12 billion tweets, growing daily, related to COVID-19 chatter generated from 1 January 2020 to 27 June 2021 at the time of writing.",,,,,https://doi.org/10.3390/epidemiologia2030024,Epidemiological modeling + visualization,no visualizations,https://www.dropbox.com/scl/fi/820dwqkt4yf75k9v8bmcl/A-Large-Scale-COVID-19-Twitter-Chatter-Dataset-for-Open-Scientific-Research-An-International-Collaboration.pdf?rlkey=wfov16djvl6swksmciyed4bs3&dl=0,2nd round
A Learning-Based Visualization Application for Air Quality Evaluation During COVID’19 Pandemic in Open Data Centric Services,,2021,,,,,,,,,https://doi.org/10.1002/9781119769262.ch1,Pandemic + visualization,couldn't access,,2nd round
A Lens to Pandemic Stay at Home Attitudes,IEEE VIS,2023,Used Moral Framing as a lens to create a SAH-relevant dataset. Continually updated and expanded set of manually labeled geotagged U.S. tweets that expressed a moral frame and stance regarding stay-at-home (SAH) orders between March and May 2020.,"communications,
 NLP, causal inference in social media, and visual computing???", [Domain Subtype],,,,"timeline, partial dependence plots, glyphmaps, Choropleth map","Collaboration project with social media analysts. Invesigate certain hand-crafted NLP features of tweets regarding stay at home policy. Tool used to find distribution and outliers. Could be overview-first detail on demand. Not clear how users could adapt the NLP analytics, it seems to be manually set by the researchers for testing specific hypotheses and find patterns.",https://doi.org/10.48550/arXiv.2308.13552,,Vis4PandEmRes,https://www.dropbox.com/scl/fi/u948xhny6amvvbvp511vd/A-Lens-to-Pandemic-Stay-at-Home-Attitudes.pdf?rlkey=3rejvsp9bz2hmfapr4xwjura5&dl=0,1st round
A Literature Review of the Effects of Air Pollution on COVID-19 Health Outcomes Worldwide: Statistical Challenges and Data Visualization,,2023,"A literature search of the National Library of Medicine’s PubMed database (https://pubmed.ncbi.nlm.nih.gov/), Elsevier’s Embase database, Clarivate Analytics Web of Science database, Cochrane’s COVID-19 Study Register, and Cold Spring Harbor Laboratory’s medRxiv and bioRxiv databases.","not relevant, dashboard shows publications, not air pollution itself; researchers",,,,,"dashboard, bar chart, map, ",met study on air pollution and COVID. Dashboard shows the data to find evidence. Supports the epidemic analysis process. No interaction with  analytical models is apparent.,https://doi.org/10.1146/annurev-publhealth-071521-120424,,not relevant,https://www.dropbox.com/scl/fi/qf003c7yd9n4ws2gy4095/bhaskar-et-al-2023-a-literature-review-of-the-effects-of-air-pollution-on-covid-19-health-outcomes-worldwide.pdf?rlkey=au6k5xlk6vjgcsv7xuckpinpg&dl=0,1st round
A Multiscale Geospatial Dataset and an Interactive Visualization Dashboard for Computational Epidemiology and Open Scientific Research,CG&A,2023,Geospatial dataset,"​ The users of this paper are researchers, analysts, and policymakers interested in understanding the spread and impact of COVID-19 at different geographical scales","[Policymakers], [Domain Subtype]: researchers/analysts","​ The tasks in this paper include multiscale correlation analysis, stay-at-home order analysis, and dynamic node property analysis.",Analyze,Analytical Visualization,"interactive dashboard includes network visualization of different components, heat map, scatter plot","correlation analysis, interactive visualization, data preprocessing, and data integration",https://doi.ieeecomputersociety.org/10.1109/MCG.2022.3230444,Pandemic + visualization,,https://www.dropbox.com/scl/fi/yxfg8xu1ts17daoehi75y/A_Multiscale_Geospatial_Dataset_and_an_Interactive_Visualization_Dashboard_for_Computational_Epidemiology_and_Open_Scientific_Research.pdf?rlkey=umpmph40r8cewp1ln6g97wqqu&dl=0,2nd round
A New Interactive Tool to Visualize and Analyze COVID-19 Data: The PERISCOPE Atlas,,2022,Numerous data sources,"no dedicated users; mentions clinical, technological, economic and sociopolitical experts",,"The tasks of this paper are to present the features of the first release of the PERISCOPE Atlas, describe its complex architecture and software components, explain the WebGIS and Multivariate and Temporal Analytics components, discuss the Ontology and Semantic Integration aspect, introduce the Data Modeling Sandbox, discuss future developments, highlight the importance of the Atlas, acknowledge the challenges of data integration, mention publicly accessible datasets used in the Atlas, and conclude by emphasizing the ongoing efforts of the PERISCOPE project. ​ The paper also aims to describe the data sources used in the Atlas, explain its main functionalities, and serve as a point of reference for researchers and policy makers studying the COVID-19 pandemic. ​",Analyze/Visualize,Model-Developmental Visualization,"maps, side-by-side visualizations, radar/spider diagrams, and other types of visualizations to facilitate comparison between variables, explore multivariate relationships, and understand the temporal evolution of the pandemic and its impact.","Rich Data Atlas: Economic, Health, Sociopolitical data. ML and Stats applicatoin with GIS Dashboard. Maps, layers, line charts, heatmaps; Radar charts.Mentioning to apply statistical modeling for prediction. Unclear how much user can control this with interactive visualizations",https://doi.org/10.3390/ijerph19159136,,,https://www.dropbox.com/scl/fi/i58cxs961c9bozfzdyc9x/A-New-Interactive-Tool-to-Visualize-and-Analyze-COVID-19-Data-The-PERISCOPE-Atlas.pdf?rlkey=o8ub9q6g3xrlygw9e76hi1o7y&dl=0,1st round
A post-truth pandemic?,,2020,COVID-19 data,,,,,,"bar chart, colored map, ",,https://doi.org/10.1177/2053951720965612,Pandemic + visualization,,https://www.dropbox.com/scl/fi/peza1lqigt7nwygck18rh/shelton-2020-a-post-truth-pandemic.pdf?rlkey=5zob3mmo6333vkx3tadfrykpt&dl=0,2nd round
"A Retro Perspective on Blended/Hybrid Learning: Systematic Review, Mapping and Visualization of the Scholarly Landscape",,2022,Scopus database,not relevant; only metadata vis of publications,,,,,"dual axis chart, tree map, Timeline visualization, ",Lietarture analysis on Blended Learning. Not on COVID analytics.,https://doi.org/10.5334/jime.751,,bibliometric analysis,https://www.dropbox.com/scl/fi/g13nlne7pjax2gmg75eoj/A-Retro-Perspective-on-Blended-Hybrid-Learning-Systematic-Review-Mapping-and-Visualization-of-the-Scholarly-Landscape.pdf?rlkey=ao0tw3jx3km3bzmi9m5seb74y&dl=0,1st round
A Review on Use of Data Science for Visualization and Prediction of the COVID-19 Pandemic and Early Diagnosis of COVID-19 Using Machine Learning Models,,2020,"Unable to access - no subscription
The data can be extracted from press releases on the Internet and government databases by Web scraping",,,,,,unable to access,,http://dx.doi.org/10.1007/978-981-15-8097-0_10,,,,1st round
A Survey of Visual Analytics for Public Health,Computer Graphics Forum,2019,Unsure (?) - This looks like e survey paper,survey; public(?),[Public],,,,"certain map-based visualizations (e.g. choropleth map, flowmaps, treemaps, heatmap, markers), time-line-based visualizations, Kaplan–Meier curves Mosaic plots, age pyramid consists of two vertical histograms, image plot, scatterplot matrix, multiple coordinated view framework with a measure browser, histograms, scatterplots, parallel coordinates and a spatial view,  calendar views, dotplots, Bi-partite graphs
",,https://doi.org/10.1111/cgf.13891,"healthcare, emergency response",,https://www.dropbox.com/scl/fi/fj3fx0fc0hug3tn6lfszt/Computer-Graphics-Forum-2019-Preim-A-Survey-of-Visual-Analytics-for-Public-Health.pdf?rlkey=228fpgwimbbsgax6e6eco4hyy&dl=0,1st round
"A Tool for Visualizationand Analysis of Neighbourhoods, Clusters, and Indicators during the COVID-19 Pandemic",,2023,"Covid-19 data -confirmed, deaths, and ICU. Data associated with 18 socioeconomic and demographic indicators",,,"- the objective of this work was to bring widgets that offer a more profound exploration and analysis of the
impact of the pandemic on socioeconomic indicators.
- they propose a way to gather the specialist’s risk perception, and as a result, a risk heatmap is produced, allowing the reduction of time series data cluttering.
- they use heatmap information to compare neighbourhoods and socioeconomic indicators by ranking them according to a severity score",Visualize/Analyze,Observational Visualization,"interactive application that includes heatmap, color-coded map, time series chart,  scatter plot, histogram. Clustering application that includes heatmap, bar chart, line chart, ",,https://doi.org/10.1155/2023/9524753,Epidemiological modeling + visualization,,https://www.dropbox.com/scl/fi/0ev7yn0e6op0jj42xpbnu/A-Tool-for-Visualization-and-Analysis-of-Neighbourhoods-Clusters-and-Indicators-during-the-COVID-19-Pandemic.pdf?rlkey=p89eu2wjcigqtzev2y5w3w586&dl=0,2nd round
A Visual Analytics Based Decision Making Environment for COVID-19 Modeling and Visualization,,2020,Spatiotemporal model simulation data relevant to COVID-19,,,"they developed a visual analytics environment that enables public health officials to model, simulate, and explore the spread of COVID-19 by supplying county-level information such as population, demographics, and hospital beds.",Visualize/Model,Model-Developmental Visualization,"color-coded map, time series line chart, ",,https://doi.org/10.1109/VIS47514.2020.00024,Emergency responses + visualization,,https://www.dropbox.com/scl/fi/hi1zp2vo2k63taoyetcu3/A_Visual_Analytics_Based_Decision_Making_Environment_for_COVID-19_Modeling_and_Visualization.pdf?rlkey=k0gpxv34cmfg7r8k6v61my58g&dl=0,2nd round
A visual analytics framework for microblog data analysis at multiple scales of aggregation,CGF,2016,Microblog data,,,"- They present a visual analytics situational awareness environment that supports the real-time exploration of microblog data across multiple scales of analysis. 
- They classify microblogs based on a fine-grained, crisis-related categorization approach, and visualize the spatiotemporal evolution of multiple categories by coupling a spatial lens with a glyph-based visual design.",Analyze/Visualize,Analytical Visualization,"they proposed visual analytics system that includes Control Panel, Time-Series View, Category Tree, Message Table, Map View. Also, hovering over a petal glyph highlights the related keywords and connects to the corresponding keywords using threads",,https://doi.org/10.1111/cgf.12920,Emergency responses + visualization,,https://www.dropbox.com/scl/fi/tf6ffa7pkvqm8331yci4y/Computer-Graphics-Forum-2016-Zhang-A-Visual-Analytics-Framework-for-Microblog-Data-Analysis-at-Multiple-Scales-of.pdf?rlkey=uf9fruzbp4hmm8qsk2vjjgzbe&dl=0,2nd round
Accessible Visualization via Natural Language Descriptions: A Four-Level Model of Semantic Content,IEEE Transactions on Visualization and Computer Graphics,2021,Unsure (?),not relevant; NLP for Vis,,,,,"natural language descriptions of visualizations by enumerating visualization construction properties (e.g., marks and encodings) and the visualizations by using bar, line, and scatter charts",Framework for NLP explanations for charts. Onyl loosely related to our seaerch I believe.,https://doi.org/10.1109/TVCG.2021.3114770,pandemic,not relevant,https://www.dropbox.com/scl/fi/7y9htr2ohjhzqpnaadibl/Accessible_Visualization_via_Natural_Language_Descriptions_A_Four-Level_Model_of_Semantic_Content.pdf?rlkey=9b30yn7na7m26co757aofs28s&dl=0,1st round
Adaptive Contextualization Methods for Combating Selection Bias during High-Dimensional Visualization,ACM TIIS,2017,Electronic Health Records - Patient Data (?),,,"They present Adaptive Contextualization (AC), a novel approach to interactive visual data selection that is specifically designed to combat the invisible introduction of selection bias",Visualize,Analytical Visualization,"They proposed visualization-based data selection system with four panels that include line chart, glyphs, ",,https://doi.org/10.1145/3009973,Epidemiological modeling + visualization,,https://www.dropbox.com/scl/fi/5gbg1jt7g52topc9mufuc/Adaptive-Contextualization-Methods-for-Combating-Selection-Bias-during-High-Dimensional-Visualization.pdf?rlkey=glg899jlxb4rd818fwhvfbm25&dl=0,2nd round
Advanced Technologies for Geosite Visualization and Valorization: A Review,,2023,Unsure (?) - review paper - no data,,,,,,This review attempts to summarize contributions by authors  ,"Survry of technologies for virtual representation of geosites e.g., GIS, VR, .. ",https://doi.org/10.3390/app13095598,,not relevant,https://www.dropbox.com/scl/fi/a5zpndvk9c6y6f6l0gk2r/Advanced-Technologies-for-Geosite-Visualization-and-Valorization-A-Review.pdf?rlkey=2lqbkoems9cdyuwhani6cg51p&dl=0,1st round
Affective Learning Objectives for Communicative Visualizations,IEEE TVCG,2023,No data ?,,,they developed  a taxonomy for describing affective learning objectives for communicative visualizations,Visualize,Observational Visualization,,,https://doi.org/10.1109/TVCG.2022.3209500,Healthcare + visualization,no visualizations,https://www.dropbox.com/scl/fi/gvm41v5zhlm80wzqar8gq/Affective_Learning_Objectives_for_Communicative_Visualizations.pdf?rlkey=nx4n1h4v1wtkl96p9nohulvwx&dl=0,2nd round
An agent-based model to evaluate the COVID-19 transmission risks in facilities,,2020,Simulated data (?),,,They present an agent-based model to evaluate the COVID-19 transmission risks in facilities to simulate the spatiotemporal transmission process.,Model,Analytical Visualization,"scatter plot, line chart, ",,https://doi.org/10.1016/j.compbiomed.2020.103827,Epidemiological modeling + visualization,,https://www.dropbox.com/scl/fi/sotb2mbjychcbvlxzhbxa/An-agent-based-model-to-evaluate-the-COVID-19-transmission-risks-in-facilities.pdf?rlkey=2lucpskilekefq0a3as5eucy5&dl=0,2nd round
An Efficient Numerical Method for Fractional SIR Epidemic Model of Infectious Disease by Using Bernstein Wavelets,,2020,Algorithm - theory paper - simulated data (?),,,they presented operational matrix based on Bernstein wavelets for solving fractional SIR model with unknown parameters,Model,Model-Developmental Visualization,They just present their results in line chart.,fractional SIR model with unknown parameters,https://doi.org/10.3390/math8040558,Epidemiological modeling + visualization,no visualization,https://www.dropbox.com/scl/fi/nfu6gk16vk95g9i9eyipj/An-Efficient-Numerical-Method-for-Fractional-SIR-Epidemic-Model-of-Infectious-Disease-by-Using-Bernstein-Wavelets.pdf?rlkey=pm8tvp9g1o5fqaloeeey80jz8&dl=0,2nd round
An epidemiological forecast model and software assessing interventions on the COVID-19 epidemic in China,,2020,COVID-19 data,,,they develop a health informatics toolbox that enables timely analysis and evaluation of the timecourse dynamics of a range of infectious disease epidemics,Analyze,Observational Visualization,their toolbox provides forecasts and a simulator that include line chart and area chart,,https://doi.org/10.6339/JDS.202007_18(3).0003,Epidemiological modeling + visualization,,https://www.dropbox.com/scl/fi/seea9pjyenotjjqqesfjo/An-epidemiological-forecast-model-and-software-assessing-interventions-on-the-COVID-19-epidemic-in-China.pdf?rlkey=2mvcx5915busfwxxyleu8caor&dl=0,2nd round
An ethical visualization of the NorthCOVID-19 model,,2022,Unsure (?) - NorthCOVID-19 model,general users/public,[Public],"address the challenge of making epidemic modeling outputs more understandable and accessible to the general public. Specifically, the task involves proposing a solution to mitigate fear mongering and confusion that may arise from the interpretation of predictions generated by epidemiological models. In this case, the proposed solution aims to improve the clarity and comprehension of a specific model, the NorthCOVID-19 model, which was developed by a Canadian institute for COVID-19 in their region. The goal is to enhance public understanding and interpretation of the model's predictions regarding the spread and impact of COVID-19 in the North region.",Visualize,Observational Visualization,a web interface,"Presents a script to sequentially show the user the output of an infection model, including the model parameters.Uses standard charts.  Allows to follow the models output, including verbalization of the results. No interaction possible with the model. Might be relevant to design transparent and didactic visualizations, but not directly related to th VA process.",https://doi.org/10.7717/peerj-cs.980,,,https://www.dropbox.com/scl/fi/pgt3bmcg6flg3huprlkry/An-ethical-visualization-of-the-NorthCOVID-19-model.pdf?rlkey=94ghysz70itbxkysjsxw6mrfy&dl=0,1st round
An Interactive Approach for Identifying Structure Definitions,CGF,2022,Dataset with time-dependent fields,,,"they presented a systematic approach and an interactive tool to obtain formal definitions of spatiotemporal structures. line and area chart, Vortex regions, ",Visualize,Analytical Visualization,"an interactive tool includes line and area chart, Vortex regions, ",,https://doi.org/10.1111/cgf.14543,Pandemic + visualization,,https://www.dropbox.com/scl/fi/ippgcf0fzzza0d2vvy30r/An-Interactive-Approach-for-Identifying-Structure-Definitions.pdf?rlkey=8e5wzeu6pmxqro9wkm2o5n76m&dl=0,2nd round
